Taxid	Virus Name	Parent Viral Name	Baltimore	Family	Host
31634	Dengue virus 2 (strain Thailand/16681/1984)	Dengue virus 2	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
12643	Ectromelia virus	Ectromelia virus	dsDNA	Poxviridae	"human,vertebrates"
265874	Ectromelia virus (strain Moscow)	Ectromelia virus	dsDNA	Poxviridae	"human,vertebrates"
654902	Elephantid herpesvirus 1 (isolate Asian elephant/Berlin/Kiba/1998)	Elephantid herpesvirus 1	dsDNA	Herpesviridae	vertebrates
12104	Encephalomyocarditis virus	Encephalomyocarditis virus	(+)ssRNA	Picornaviridae	"human,vertebrates"
82830	Epstein-Barr virus (strain AG876)	Epstein-Barr virus	dsDNA	Herpesviridae	"human,vertebrates"
12509	Human herpesvirus 4 type 2	Epstein-Barr virus	dsDNA	Herpesviridae	"human,vertebrates"
10326	Equid alphaherpesvirus 1	Equid alphaherpesvirus 1	dsDNA	Herpesviridae	vertebrates
299386	Equine arteritis virus Bucyrus	Equine arteritis virus	(+)ssRNA	Arteriviridae	vertebrates
10329	Equine herpesvirus 1 (strain Kentucky A)	Equine herpesvirus 1	dsDNA	Herpesviridae	vertebrates
82831	Equine herpesvirus 2 (strain 86/87)	Equine herpesvirus 2	dsDNA	Herpesviridae	vertebrates
31520	Equine herpesvirus 1 (strain AB4P)	Equine herpesvirus 1	dsDNA	Herpesviridae	vertebrates
11665	Equine infectious anemia virus	Equine infectious anemia virus	ssRNA-RT	Retroviridae	vertebrates
31675	Equine infectious anemia virus (clone CL22)	Equine infectious anemia virus	ssRNA-RT	Retroviridae	vertebrates
11670	Equine infectious anemia virus (isolate 1369)	Equine infectious anemia virus	ssRNA-RT	Retroviridae	vertebrates
11673	Feline immunodeficiency virus	Feline immunodeficiency virus	ssRNA-RT	Retroviridae	vertebrates
12118	Foot-and-mouth disease virus - type O	Foot-and-mouth disease virus	(+)ssRNA	Picornaviridae	vertebrates
10553	Fowl adenovirus A serotype 1 (strain CELO / Phelps)	Fowl adenovirus A serotype 1	dsDNA	Adenoviridae	vertebrates
928301	Fowlpox virus (strain NVSL)	Fowlpox virus 	dsDNA	Poxviridae	vertebrates
11797	Friend murine leukemia virus (isolate FB29)	Friend murine leukemia virus	ssRNA-RT	Retroviridae	"human,vertebrates"
10390	Gallid alphaherpesvirus 2	Gallid alphaherpesvirus 2	dsDNA	Herpesviridae	vertebrates
10389	Gallid herpesvirus 2 (strain Chicken/Md5/ATCC VR-987)	Gallid herpesvirus 2	dsDNA	Herpesviridae	vertebrates
1980471	Hantaan orthohantavirus	Hantaan orthohantavirus	(-)ssRNA	Hantaviridae	"human,vertebrates"
63330	Hendra virus	Hendra virus	(-)ssRNA	Paramyxoviridae	"human,vertebrates"
928303	Hendra virus (isolate Horse/Autralia/Hendra/1994)	Hendra virus	(-)ssRNA	Paramyxoviridae	"human,vertebrates"
480116	Hepatitis B virus genotype A2 subtype adw2 (strain Rutter 1979)	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
489460	Hepatitis B virus genotype B	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
489466	Hepatitis B virus genotype C	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
928302	Hepatitis B virus genotype C subtype ayr	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
10419	Hepatitis B virus genotype D subtype adw (isolate United Kingdom/adyw/1979)	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
489488	Hepatitis B virus genotype D subtype ayw (isolate Australia/AustKW/1991)	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
490133	Hepatitis B virus genotype D subtype ayw (isolate France/Tiollais/1979)	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
106820	Hepatitis B virus subtype adr	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
10408	Hepatitis B virus subtype adw2	Hepatitis B virus	dsDNA-RT	Hepadnaviridae	"human,vertebrates"
11103	Hepatitis C virus	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
329389	Hepatitis C virus (isolate Glasgow)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
41856	Hepatitis C virus genotype 1	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
11104	Hepatitis C virus genotype 1a (isolate 1)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
11108	Hepatitis C virus (isolate H)	Hepatitis C virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
